,aus,ban,fin,rom,tur,rand
aff_,0.0,0.0,0.0,0.0,0.0,3.0
aff,0.0,0.0,0.0,0.8,0.0,0.2
afg_,0.0,0.0,0.0,0.0,0.0,3.0
afg,0.0,0.0,0.0,0.0,0.0,3.0
afh_,0.0,0.0,0.0,0.0,0.0,3.0
afh,0.0,0.0,0.0,0.0,0.0,3.0
afi_,0.0,0.6,0.0,0.0,0.0,0.4
afi,0.0,0.7439024390243902,0.0,0.2560975609756097,0.0,0.0
afj_,0.0,0.0,0.0,0.0,0.0,3.0
afj,0.0,0.0,0.0,0.0,0.0,3.0
afk_,0.0,0.0,0.0,0.0,0.0,3.0
afk,0.0,0.0,0.0,0.0,0.0,3.0
afl_,0.0,0.0,0.0,0.0,0.0,3.0
afl,0.0,0.0,0.0,0.7,0.0,0.3
afm_,0.0,0.0,0.0,0.0,0.0,3.0
afm,0.0,0.0,0.0,0.0,0.0,3.0
afn_,0.0,0.0,0.0,0.0,0.0,3.0
afn,0.0,0.0,0.0,0.0,0.0,3.0
afo_,0.0,0.0,0.0,0.4,0.0,0.6
afo,0.0,0.0,0.0,0.4,0.0,0.6
afp_,0.0,0.0,0.0,0.0,0.0,3.0
afp,0.0,0.0,0.0,0.0,0.0,3.0
afq_,0.0,0.0,0.0,0.0,0.0,3.0
afq,0.0,0.0,0.0,0.0,0.0,3.0
afr_,0.0,0.0,0.0,0.0,0.0,3.0
afr,0.0,0.0,0.0,0.5,0.0,0.5
afs_,0.0,0.0,0.0,0.0,0.0,3.0
afs,0.0,0.0,0.0,0.0,0.0,3.0
aft_,0.0,0.0,0.0,0.0,0.0,3.0
aft,0.0,0.0,0.0,0.0,0.0,3.0
afu_,0.0,0.8,0.0,0.0,0.0,0.2
afu,0.0,0.9873417721518988,0.0,0.0126582278481012,0.0,0.0
afv_,0.0,0.0,0.0,0.0,0.0,3.0
afv,0.0,0.0,0.0,0.0,0.0,3.0
afw_,0.0,0.0,0.0,0.0,0.0,3.0
afw,0.0,0.0,0.0,0.0,0.0,3.0
afx_,0.0,0.0,0.0,0.0,0.0,3.0
afx,0.0,0.0,0.0,0.0,0.0,3.0
afy_,0.0,0.0,0.0,0.0,0.0,3.0
afy,0.0,0.0,0.0,0.0,0.0,3.0
